zip5,state,district,is_split,is_dc
99703,AK,0,False,False
99704,AK,0,False,False
99705,AK,0,False,False
99706,AK,0,False,False
99707,AK,0,False,False
99709,AK,0,False,False
99712,AK,0,False,False
99714,AK,0,False,False
99720,AK,0,False,False
99721,AK,0,False,False
99722,AK,0,False,False
99723,AK,0,False,False
99724,AK,0,False,False
99725,AK,0,False,False
99726,AK,0,False,False
99727,AK,0,False,False
99729,AK,0,False,False
99730,AK,0,False,False
99732,AK,0,False,False
99733,AK,0,False,False
99734,AK,0,False,False
99736,AK,0,False,False
99737,AK,0,False,False
99738,AK,0,False,False
99739,AK,0,False,False
99740,AK,0,False,False
99741,AK,0,False,False
99742,AK,0,False,False
99743,AK,0,False,False
99744,AK,0,False,False
99745,AK,0,False,False
99746,AK,0,False,False
99747,AK,0,False,False
99748,AK,0,False,False
99749,AK,0,False,False
99750,AK,0,False,False
99751,AK,0,False,False
99752,AK,0,False,False
99753,AK,0,False,False
99754,AK,0,False,False
99755,AK,0,False,False
99756,AK,0,False,False
99757,AK,0,False,False
99758,AK,0,False,False
99759,AK,0,False,False
99760,AK,0,False,False
99761,AK,0,False,False
99762,AK,0,False,False
99763,AK,0,False,False
99764,AK,0,False,False
99765,AK,0,False,False
99766,AK,0,False,False
99767,AK,0,False,False
99768,AK,0,False,False
99769,AK,0,False,False
99770,AK,0,False,False
99771,AK,0,False,False
99772,AK,0,False,False
99773,AK,0,False,False
99774,AK,0,False,False
99775,AK,0,False,False
99776,AK,0,False,False
99777,AK,0,False,False
99778,AK,0,False,False
99780,AK,0,False,False
99781,AK,0,False,False
99782,AK,0,False,False
99783,AK,0,False,False
99784,AK,0,False,False
99785,AK,0,False,False
99786,AK,0,False,False
99788,AK,0,False,False
99789,AK,0,False,False
99790,AK,0,False,False
99791,AK,0,False,False
99801,AK,0,False,False
99820,AK,0,False,False
99824,AK,0,False,False
99825,AK,0,False,False
99826,AK,0,False,False
99827,AK,0,False,False
99829,AK,0,False,False
99830,AK,0,False,False
99832,AK,0,False,False
99833,AK,0,False,False
99835,AK,0,False,False
99836,AK,0,False,False
99840,AK,0,False,False
99841,AK,0,False,False
99850,AK,0,False,False
99901,AK,0,False,False
99903,AK,0,False,False
99918,AK,0,False,False
99919,AK,0,False,False
99921,AK,0,False,False
99922,AK,0,False,False
99923,AK,0,False,False
99925,AK,0,False,False
99926,AK,0,False,False
99927,AK,0,False,False
99929,AK,0,False,False
85003,AZ,3,False,False
85004,AZ,3,False,False
85006,AZ,3,False,False
85007,AZ,3,False,False
85009,AZ,3,False,False
85020,AZ,1,False,False
85022,AZ,1,False,False
85028,AZ,1,False,False
85031,AZ,3,False,False
85032,AZ,1,False,False
85035,AZ,3,False,False
85040,AZ,3,False,False
85041,AZ,3,False,False
85045,AZ,4,False,False
85048,AZ,4,False,False
85050,AZ,1,False,False
85053,AZ,8,False,False
85054,AZ,1,False,False
85083,AZ,8,False,False
85120,AZ,5,False,False
85121,AZ,2,False,False
85135,AZ,2,False,False
85147,AZ,2,False,False
85173,AZ,2,False,False
85202,AZ,4,False,False
85204,AZ,4,False,False
85205,AZ,4,False,False
85210,AZ,4,False,False
85212,AZ,5,False,False
85236,AZ,5,False,False
85249,AZ,5,False,False
85253,AZ,1,False,False
85254,AZ,1,False,False
85255,AZ,1,False,False
85259,AZ,1,False,False
85260,AZ,1,False,False
85266,AZ,1,False,False
85268,AZ,1,False,False
85284,AZ,4,False,False
85295,AZ,5,False,False
85296,AZ,5,False,False
85297,AZ,5,False,False
